,행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
184,1135069500,서울특별시노원구상계6.7동,"32,641","13,894",2.35,"15,088","17,553",0.86
185,1135070000,서울특별시노원구상계8동,"22,547","9,219",2.45,"10,816","11,731",0.92
186,1135071000,서울특별시노원구상계9동,"20,444","8,378",2.44,"9,656","10,788",0.9
187,1135072000,서울특별시노원구상계10동,"18,677","7,653",2.44,"8,656","10,021",0.86
188,1138000000,서울특별시은평구,"473,307","214,711",2.2,"226,458","246,849",0.92
189,1138051000,서울특별시은평구녹번동,"36,807","17,601",2.09,"17,434","19,373",0.9
190,1138052000,서울특별시은평구불광제1동,"38,518","17,756",2.17,"18,167","20,351",0.89
191,1138053000,서울특별시은평구불광제2동,"27,545","13,989",1.97,"13,330","14,215",0.94
192,1138055100,서울특별시은평구갈현제1동,"21,876","10,787",2.03,"10,672","11,204",0.95
193,1138055200,서울특별시은평구갈현제2동,"28,240","12,650",2.23,"13,379","14,861",0.9
194,1138056000,서울특별시은평구구산동,"32,207","13,325",2.42,"15,777","16,430",0.96
195,1138057000,서울특별시은평구대조동,"26,881","14,546",1.85,"12,497","14,384",0.87
196,1138058000,서울특별시은평구응암제1동,"32,960","14,952",2.2,"15,617","17,343",0.9
197,1138059000,서울특별시은평구응암제2동,"27,912","11,263",2.48,"13,547","14,365",0.94
198,1138060000,서울특별시은평구응암제3동,"24,336","12,494",1.95,"11,854","12,482",0.95
199,1138062500,서울특별시은평구역촌동,"45,384","20,822",2.18,"21,321","24,063",0.89
200,1138063100,서울특별시은평구신사제1동,"27,031","11,896",2.27,"13,035","13,996",0.93
201,1138063200,서울특별시은평구신사제2동,"20,211","8,976",2.25,"10,097","10,114",1.0
202,1138064000,서울특별시은평구증산동,"14,909","6,768",2.2,"7,273","7,636",0.95
203,1138065000,서울특별시은평구수색동,"12,692","5,360",2.37,"6,254","6,438",0.97
204,1138069000,서울특별시은평구진관동,"55,798","21,526",2.59,"26,204","29,594",0.89
205,1141000000,서울특별시서대문구,"304,819","143,647",2.12,"145,694","159,125",0.92
206,1141052000,서울특별시서대문구천연동,"17,121","7,749",2.21,"8,121","9,000",0.9
207,1141055500,서울특별시서대문구북아현동,"15,930","7,209",2.21,"7,644","8,286",0.92
208,1141056500,서울특별시서대문구충현동,"20,355","10,263",1.98,"9,807","10,548",0.93
209,1141058500,서울특별시서대문구신촌동,"19,752","14,010",1.41,"8,756","10,996",0.8
210,1141061500,서울특별시서대문구연희동,"34,976","18,600",1.88,"16,737","18,239",0.92
211,1141062000,서울특별시서대문구홍제제1동,"23,676","10,409",2.27,"11,090","12,586",0.88
212,1141064000,서울특별시서대문구홍제제3동,"15,336","7,046",2.18,"7,410","7,926",0.93
213,1141065500,서울특별시서대문구홍제제2동,"13,703","5,805",2.36,"6,471","7,232",0.89
214,1141066000,서울특별시서대문구홍은제1동,"22,697","9,731",2.33,"10,957","11,740",0.93
215,1141068500,서울특별시서대문구홍은제2동,"26,496","12,316",2.15,"12,796","13,700",0.93
216,1141069000,서울특별시서대문구남가좌제1동,"15,409","5,673",2.72,"7,384","8,025",0.92
217,1141070000,서울특별시서대문구남가좌제2동,"29,780","13,344",2.23,"14,416","15,364",0.94
218,1141071000,서울특별시서대문구북가좌제1동,"18,009","6,908",2.61,"8,676","9,333",0.93
219,1141072000,서울특별시서대문구북가좌제2동,"31,579","14,584",2.17,"15,429","16,150",0.96
220,1144000000,서울특별시마포구,"368,905","179,861",2.05,"173,504","195,401",0.89
221,1144055500,서울특별시마포구아현동,"25,233","10,423",2.42,"11,832","13,401",0.88
222,1144056500,서울특별시마포구공덕동,"37,164","18,507",2.01,"17,460","19,704",0.89
223,1144058500,서울특별시마포구도화동,"21,151","9,305",2.27,"10,091","11,060",0.91
224,1144059000,서울특별시마포구용강동,"21,619","9,393",2.3,"10,236","11,383",0.9
225,1144060000,서울특별시마포구대흥동,"14,517","8,673",1.67,"7,023","7,494",0.94
226,1144061000,서울특별시마포구염리동,"16,817","7,754",2.17,"8,093","8,724",0.93
227,1144063000,서울특별시마포구신수동,"22,489","9,976",2.25,"10,954","11,535",0.95
228,1144065500,서울특별시마포구서강동,"24,938","12,165",2.05,"11,863","13,075",0.91
229,1144066000,서울특별시마포구서교동,"24,826","15,381",1.61,"11,383","13,443",0.85
230,1144068000,서울특별시마포구합정동,"17,311","9,508",1.82,"8,022","9,289",0.86
231,1144069000,서울특별시마포구망원제1동,"20,041","10,325",1.94,"9,378","10,663",0.88
232,1144070000,서울특별시마포구망원제2동,"18,567","8,464",2.19,"8,725","9,842",0.89
233,1144071000,서울특별시마포구연남동,"14,914","8,641",1.73,"7,052","7,862",0.9
234,1144072000,서울특별시마포구성산제1동,"18,930","9,398",2.01,"8,912","10,018",0.89
235,1144073000,서울특별시마포구성산제2동,"39,608","19,231",2.06,"17,886","21,722",0.82
236,1144074000,서울특별시마포구상암동,"30,780","12,717",2.42,"14,594","16,186",0.9
237,1147000000,서울특별시양천구,"447,302","181,404",2.47,"219,214","228,088",0.96
238,1147051000,서울특별시양천구목1동,"30,750","10,403",2.96,"14,773","15,977",0.92
239,1147052000,서울특별시양천구목2동,"29,903","13,396",2.23,"14,562","15,341",0.95
240,1147053000,서울특별시양천구목3동,"21,815","10,027",2.18,"10,408","11,407",0.91
241,1147054000,서울특별시양천구목4동,"25,372","10,152",2.5,"12,396","12,976",0.96
242,1147055000,서울특별시양천구목5동,"41,239","13,465",3.06,"20,455","20,784",0.98
243,1147056000,서울특별시양천구신월1동,"20,422","10,232",2.0,"10,490","9,932",1.06
244,1147057000,서울특별시양천구신월2동,"20,665","8,465",2.44,"10,096","10,569",0.96
245,1147058000,서울특별시양천구신월3동,"15,191","7,909",1.92,"8,009","7,182",1.12
246,1147059000,서울특별시양천구신월4동,"17,926","6,890",2.6,"8,759","9,167",0.96
247,1147060000,서울특별시양천구신월5동,"14,615","6,470",2.26,"7,262","7,353",0.99
248,1147061000,서울특별시양천구신월6동,"13,893","5,356",2.59,"6,792","7,101",0.96
249,1147061100,서울특별시양천구신월7동,"19,783","9,219",2.15,"9,677","10,106",0.96
250,1147062000,서울특별시양천구신정1동,"20,374","7,103",2.87,"9,925","10,449",0.95
251,1147063000,서울특별시양천구신정2동,"19,491","7,010",2.78,"9,567","9,924",0.96
252,1147064000,서울특별시양천구신정3동,"49,627","19,369",2.56,"24,148","25,479",0.95
253,1147065000,서울특별시양천구신정4동,"32,698","16,180",2.02,"15,936","16,762",0.95
254,1147067000,서울특별시양천구신정6동,"24,528","8,265",2.97,"11,939","12,589",0.95
255,1147068000,서울특별시양천구신정7동,"29,010","11,493",2.52,"14,020","14,990",0.94
256,1150000000,서울특별시강서구,"574,315","271,175",2.12,"276,292","298,023",0.93
257,1150051000,서울특별시강서구염창동,"41,637","16,309",2.55,"20,144","21,493",0.94
258,1150052000,서울특별시강서구등촌제1동,"24,239","13,600",1.78,"11,243","12,996",0.87
259,1150053000,서울특별시강서구등촌제2동,"20,303","8,668",2.34,"9,914","10,389",0.95
260,1150053500,서울특별시강서구등촌제3동,"30,544","15,012",2.03,"14,486","16,058",0.9
261,1150054000,서울특별시강서구화곡제1동,"51,801","27,678",1.87,"25,174","26,627",0.95
262,1150055000,서울특별시강서구화곡제2동,"17,840","8,187",2.18,"8,662","9,178",0.94
263,1150056000,서울특별시강서구화곡제3동,"21,525","9,657",2.23,"10,297","11,228",0.92
264,1150057000,서울특별시강서구화곡제4동,"20,532","9,748",2.11,"10,038","10,494",0.96
265,1150059000,서울특별시강서구화곡본동,"34,202","17,267",1.98,"16,579","17,623",0.94
266,1150059100,서울특별시강서구화곡제6동,"24,869","12,586",1.98,"12,024","12,845",0.94
267,1150059300,서울특별시강서구화곡제8동,"24,383","11,814",2.06,"11,751","12,632",0.93
268,1150060300,서울특별시강서구가양제1동,"34,115","20,536",1.66,"15,594","18,521",0.84
269,1150060400,서울특별시강서구가양제2동,"14,026","8,055",1.74,"6,618","7,408",0.89
270,1150060500,서울특별시강서구가양제3동,"15,040","7,903",1.9,"6,975","8,065",0.86
271,1150061100,서울특별시강서구발산제1동,"36,416","13,446",2.71,"17,215","19,201",0.9
272,1150061500,서울특별시강서구우장산동,"42,923","16,100",2.67,"20,534","22,389",0.92
273,1150062000,서울특별시강서구공항동,"30,842","14,081",2.19,"15,537","15,305",1.02
274,1150063000,서울특별시강서구방화제1동,"42,932","17,256",2.49,"20,924","22,008",0.95
275,1150064000,서울특별시강서구방화제2동,"23,355","11,994",1.95,"11,527","11,828",0.97
276,1150064100,서울특별시강서구방화제3동,"22,791","11,278",2.02,"11,056","11,735",0.94
277,1153000000,서울특별시구로구,"396,754","180,929",2.19,"195,537","201,217",0.97
278,1153051000,서울특별시구로구신도림동,"36,049","13,730",2.63,"17,517","18,532",0.95
279,1153052000,서울특별시구로구구로제1동,"20,827","8,343",2.5,"10,196","10,631",0.96
280,1153053000,서울특별시구로구구로제2동,"23,802","12,608",1.89,"12,016","11,786",1.02
281,1153054000,서울특별시구로구구로제3동,"23,529","13,338",1.76,"12,087","11,442",1.06
282,1153055000,서울특별시구로구구로제4동,"19,667","10,630",1.85,"9,534","10,133",0.94
283,1153056000,서울특별시구로구구로제5동,"29,212","15,130",1.93,"14,185","15,027",0.94
284,1153059500,서울특별시구로구가리봉동,"8,958","5,999",1.49,"4,900","4,058",1.21
285,1153072000,서울특별시구로구고척제1동,"22,337","9,462",2.36,"11,119","11,218",0.99
286,1153073000,서울특별시구로구고척제2동,"26,631","11,508",2.31,"13,205","13,426",0.98
287,1153074000,서울특별시구로구개봉제1동,"33,775","14,926",2.26,"16,854","16,921",1.0
288,1153075000,서울특별시구로구개봉제2동,"30,894","12,575",2.46,"15,051","15,843",0.95
289,1153076000,서울특별시구로구개봉제3동,"20,222","8,824",2.29,"9,831","10,391",0.95
290,1153077000,서울특별시구로구오류제1동,"22,540","12,092",1.86,"10,945","11,595",0.94
291,1153078000,서울특별시구로구오류제2동,"38,456","15,586",2.47,"18,495","19,961",0.93
292,1153079000,서울특별시구로구수궁동,"23,506","10,034",2.34,"11,591","11,915",0.97
293,1153080000,서울특별시구로구항동,"16,349","6,144",2.66,"8,011","8,338",0.96
294,1154500000,서울특별시금천구,"230,811","117,595",1.96,"116,527","114,284",1.02
295,1154551000,서울특별시금천구가산동,"23,669","16,824",1.41,"12,863","10,806",1.19
296,1154561000,서울특별시금천구독산제1동,"44,873","23,295",1.93,"22,990","21,883",1.05
