,,,,매출금액,매출금액,매출금액,매출금액,매출금액,매출금액
연도,,,,2017,2018,2019,2020,2021,2022
행정구역 구분 코드,행정구역 명,생활밀접업종 분류코드,생활밀접업종명,,,,,,
2,고양시,2,두발 미용업,81028756885.0,84190723606.0,86555299955.0,81443990431.0,81425815143.0,20262912607.0
2,고양시,2,방문 교육학원,2198786193.0,2773127346.0,3757960666.0,3151420660.0,3884996466.0,1033323306.0
2,고양시,2,부동산 중개 및 대리업,1508968236.0,1340788948.0,975708556.0,1460366116.0,702490972.0,238136900.0
2,고양시,2,여관업,24781629338.0,28959791685.0,27519725329.0,29975114008.0,29982905791.0,6899060258.0
2,고양시,2,외국어학원,15322248279.0,17973236962.0,18088104404.0,11827525620.0,11827471071.0,3944436603.0
2,고양시,2,일반 교과학원,166735743468.0,168566416092.0,178720102090.0,144958291576.0,144977274047.0,43608779493.0
2,고양시,2,일반의원,125873887626.0,129181607386.0,130823069027.0,122650703079.0,122635761969.0,36101771031.0
2,고양시,2,자동차 세차업,9461550533.0,10809180812.0,12291197163.0,11228973134.0,11232027757.0,3237299107.0
2,고양시,2,자동차 전문 수리업,95501679918.0,103303860838.0,102633068564.0,96421854243.0,96423654047.0,22620016723.0
2,고양시,2,체력 단련시설 운영업,16207970817.0,15183331072.0,17406114989.0,16035622593.0,16034345951.0,6378040663.0
2,고양시,2,치과의원,77738482678.0,73657466023.0,79305655380.0,66636801409.0,66629833438.0,18941973787.0
2,고양시,2,컴퓨터 게임방 운영업,20903221925.0,26530041329.0,31923589380.0,22150641825.0,22151677682.0,4754881105.0
2,고양시,2,피부 미용업,15426751586.0,16601773335.0,19109154756.0,14775761786.0,14777612287.0,4038751105.0
2,고양시,2,한의원,63109065877.0,63805152297.0,68902808636.0,59051721747.0,59059305448.0,15276919689.0
2,고양시,3,기타 주점업,120088655415.0,137822236325.0,133094397775.0,102617166893.0,102613083872.0,16897012643.0
2,고양시,3,김밥 및 기타 간이 음식점업,82907828856.0,93586994044.0,106462778262.0,100574489886.0,100580188201.0,21048357555.0
2,고양시,3,서양식 음식점업,26435278249.0,26863114673.0,30068540614.0,28584579937.0,28584595322.0,7265332939.0
2,고양시,3,일식 음식점업,55624986315.0,55932306170.0,57927741390.0,56092029249.0,56100604895.0,14808785842.0
2,고양시,3,제과점업,64399080767.0,69575135425.0,70406951422.0,67912257755.0,67913933807.0,17315796095.0
2,고양시,3,중식 음식점업,57326978597.0,63522420289.0,66667528088.0,74914066068.0,74915655389.0,17544190559.0
2,고양시,3,한식 육류 요리 전문점,432413112.0,305439485.0,391573244.0,250208347.0,342653677.0,65057933.0
2,고양시,3,한식 일반 음식점업,432864073626.0,425504841405.0,432475984919.0,443831522376.0,443889719064.0,93882993594.0
2,과천시,1,가구 소매업,741080215.0,678885192.0,718095236.0,768167904.0,768211743.0,154620143.0
2,과천시,1,가방 및 기타 가죽제품 소매업,129990777.0,217039494.0,90009288.0,94981185.0,94975954.0,1364736.0
2,과천시,1,가전제품 소매업,1188096410.0,430002790.0,481001865.0,2742668667.0,2742571562.0,796661062.0
